inout	x	y	speed	netheight
1	10.02	1.08	26	2.9
1	-11.57	-0.12	37	2.6
1	11.27	0.69	32	3.6
1	-11.93	0.67	38	1.9
1	13.78	3.14	33	2.8
1	-14.70	-1.55	39	2.8
1	15.40	0.38	45	2.0
1	-15.65	-3.25	38	2.7
1	12.16	-1.71	73	1.1
1	-20.08	-1.69	42	4.1
1	20.20	-0.33	47	2.6
1	-14.60	0.34	36	3.8
1	15.23	1.51	41	2.9
1	-23.21	-1.26	47	4.0
1	24.69	-5.25	42	8.5
1	-11.93	-1.14	38	1.2
1	13.98	-3.82	39	2.2
1	-16.45	-0.47	42	2.0
1	9.19	-1.30	36	0.9
1	-18.52	-0.13	39	3.7
1	20.11	1.64	45	4.1
1	-14.64	1.75	42	2.1
1	16.17	3.00	44	2.1
1	-26.50	1.36	42	7.3
1	22.53	-4.22	46	2.8
1	-10.04	-1.11	37	1.1
1	12.83	1.16	36	0.7
1	-23.50	-2.12	47	3.5
1	20.99	2.84	41	3.3
1	-10.91	0.06	32	2.3
1	19.12	1.03	44	1.5
1	-20.25	0.32	32	4.7
1	7.71	0.75	37	0.0
1	-22.30	-0.38	53	3.5
1	24.33	0.23	36	7.9
1	-18.58	-0.22	40	3.7
1	19.58	1.58	38	5.0
1	-15.63	-2.04	36	5.1
1	19.27	2.60	46	3.5
1	-16.22	0.05	43	2.8
1	13.81	-0.65	43	0.6
1	17.82	0.45	25	3.8
1	-19.88	0.45	42	3.8
1	11.37	1.23	38	0.0
1	-16.28	3.20	36	2.4
1	15.51	3.51	40	3.7
1	-15.85	-1.78	45	2.3
1	15.26	0.58	52	0.8
1	-12.71	-4.62	44	0.8
1	-11.68	-0.44	37	1.6
1	17.52	2.79	32	3.5
1	-13.51	-0.71	45	1.2
1	-14.28	-0.03	42	1.4
1	12.07	-2.89	42	0.7
1	-17.73	-0.66	36	1.4
1	15.68	0.72	38	2.5
1	-11.41	0.79	41	0.8
1	9.92	6.83	28	7.6
1	-20.39	1.81	39	5.7
1	21.06	1.41	40	4.7
1	-11.81	-3.69	38	1.3
1	21.27	2.94	36	2.8
1	-18.75	7.58	33	12.5
1	17.44	-0.20	41	4.2
1	-10.62	0.23	40	0.8
1	20.82	-1.81	37	3.7
1	-14.09	-1.93	43	1.4
1	11.59	-1.53	46	0.0
1	-20.84	-1.46	37	3.7
1	-25.79	0.76	41	5.9
1	9.93	-0.32	39	0.8
1	-15.94	-4.20	45	1.4
1	15.63	-2.18	51	0.8
1	-18.06	-9.41	46	2.3
1	26.53	-4.97	46	6.2
1	-24.81	-1.71	63	2.6
1	25.27	-4.23	57	4.5
1	-16.07	0.11	42	2.8
1	12.87	-0.49	31	1.0
1	-13.97	-4.82	43	1.2
1	18.29	-3.87	46	1.6
1	-18.63	-3.08	42	3.2
1	13.22	-5.94	50	0.6
1	-19.47	3.46	48	1.6
1	19.44	2.17	44	3.6
1	-13.30	-1.91	42	1.1
1	16.34	2.13	42	1.1
1	-19.55	4.03	39	3.4
1	21.04	4.32	33	7.2
1	-12.48	-0.49	38	1.9
1	22.10	1.34	43	2.6
1	-14.77	-6.78	40	2.2
1	10.76	1.39	38	0.6
1	14.46	-1.59	34	2.6
1	-13.08	-4.60	46	1.0
1	20.04	-1.41	47	1.3
1	24.15	4.98	50	5.4
1	-23.54	1.48	37	8.2
1	18.76	3.92	43	5.7
1	-11.29	3.14	49	0.9
1	16.57	6.60	49	2.0
1	-20.03	2.79	46	3.9
1	16.55	3.30	51	2.0
1	-18.11	-4.07	48	2.5
1	14.48	-4.00	44	1.6
1	-24.36	0.45	56	3.4
1	11.95	0.63	42	0.8
1	-16.19	0.04	48	1.6
1	17.11	2.29	46	2.9
1	-13.88	-0.64	42	1.8
1	20.93	2.44	46	2.5
1	-22.76	-3.29	47	4.0
1	18.60	2.12	34	2.9
1	-13.50	-2.83	47	0.8
1	10.78	-0.44	35	1.0
1	-22.61	-4.44	47	3.3
1	25.19	-1.03	62	3.2
1	-10.69	7.93	43	1.1
1	20.26	4.48	57	4.3
1	-14.16	5.23	64	0.2
